"","station","EHF_t","min_95","min_99","max_95","max_99","mean_95","mean_99"
"164",10547,14.3331944444444,16,18.5,34.5,38.5,24.75,27.75
"165",10549,14.4155555555556,16,18.5,33.5,37.5,24.25,27.25
"166",10550,14.9595138888889,17,19.5,34.5,38.5,25.25,28.5
"167",10551,14.5127777777778,16.5,19,33.5,38,24.25,27.5
"168",10554,14.2850694444444,15.5,18,33.5,37.5,23.75,27
"169",10558,13.8796875,16,18.5,33,37,23.75,27
"170",10560,14.0819444444444,17.5,20.5,36.5,40,26.5,29.5
"171",10561,15.1536805555556,16.5,19.5,35,38.5,25,28
"172",10562,14.9336805555555,17,19.5,35,39,25.25,28.5
"173",10564,15.343125,18,20.5,36.5,40,26.5,29.5
"174",10565,14.0736111111111,17.5,20,36,40,26,29.25
"175",10566,14.5008333333333,16.5,19,34.5,38.5,24.75,27.75
"176",10568,14.3600888888889,17.8,21,37,40.9400000000001,26.8,30
"177",10572,14.2923611111111,16,18,31,36,22.75,26
"178",10576,14.4809722222222,18,21,36.5,40.5,26.75,30
"179",10577,14.31125,18,21,36.5,40.5,26.75,30
"180",10579,14.571025,16.3,19,34.4,38.3,24.5,27.75
"181",10580,16.2995920138889,17,19.5,32.5,37.5,24,27.75
"182",10581,14.0347222222222,17.5,20.5,36.5,40,26.5,29.75
"183",10582,14.6988611111111,15.5,18.4,33.5,37.5,23.75,27
"184",10583,14.8519097222222,18,21,36.5,40,26.75,29.75
"185",10584,15.3445833333333,17.5,20.5,36,39.5,26.25,29.25
"186",10585,15.25,17.5,20.5,36,40,26.25,29.5
"187",10586,14.0182291666667,19,22,37,40.5,27.5,30.5
"188",10588,14.89,16,19,33.5,38,24.25,27.5
"189",10589,14.45625,16.5,19,34,38,24.5,27.75
"190",10590,15.0253125,18.5,21.5,37,40.5,27.25,30.25
"191",10591,14.8875,17,19.5,35.5,39,25.5,28.75
"192",10592,15.6513638888889,17.2,20.4,35.2,39,25.55,29
"193",10593,15.3664583333333,16.5,19,34.5,38.5,24.75,28.25
"194",10595,14.8302777777778,16.5,19,33.5,38,24.25,27.5
"195",10596,14.8727777777778,16.5,19.5,34.5,38.5,24.75,28.25
"196",10597,14.1565972222222,17,20,35.5,39.5,25.75,29
"197",10598,14.9416666666667,16,18.5,34.5,38,24.5,27.5
"198",10600,14.5431944444444,16.5,19,33.5,38,24.25,27.5
"199",10602,15.5662152777778,17,20,35.5,39,25.75,28.75
"200",10603,14.7743055555556,18,21,36.5,40,26.75,30
"201",10606,15.275,17,19.5,35,39,25.25,28.5
"202",10607,15.3990972222222,17.5,20.5,36,39.5,26,29.25
"203",10609,15.0640972222222,16.5,19.5,35,38.5,25.25,28.25
"204",10611,16.4377777777778,16.5,19,34,38.5,24.5,28
"205",10612,13.8022222222222,18.5,21.9,37,40.5,27.5,30.5
"206",10614,16.6142444444445,17,20.4,34.8,38.6,25.2,28.45
"207",10617,15.1916666666667,17,19.5,35,39,25.25,28.5
"208",10618,15.5069791666667,16.5,19.5,34.5,38.5,25,28.25
"209",10619,14.1352777777778,16.5,19,34,38,24.5,27.75
"210",10620,15.2713194444444,17.5,20.5,36.5,40,26.5,29.5
"211",10622,14.7599208333333,16,18.5,32.5,37,23.7,27
"212",10623,13.6309375,16,18.5,33,37,23.75,27
"213",10624,15.7119791666667,17.5,20.5,36,39.5,26.25,29.25
"214",10625,14.6648611111111,17,20,36,39.5,26,29.25
"215",10626,16.511,17.6,21,35.5,39.4,26.1,29.25
"216",10627,15.0006944444444,16.5,19,34,38,24.5,27.75
"217",10628,14.8285416666667,18.5,21.5,37,40.5,27.5,30.5
"218",10629,15.6469444444444,17,20,35.5,39,25.75,28.75
"219",10633,17.9268055555556,16.5,19.4,33.1,38.1,24.2,27.85
"220",10634,15.5608333333333,17.5,20.5,36,40,26.25,29.25
"221",10635,14.0902777777778,15.5,18,33.5,37.5,24,27
"222",10636,15.375,16.5,19.5,35,38.5,25,28.25
"223",10637,15.22875,17,20,35,39,25.5,28.5
"224",10638,14.8263541666667,18,21,36.5,40,26.75,29.75
"225",10641,14.8166319444444,16,18.5,34.5,38,24.5,27.5
"226",10642,15.111875,18,21,37,40.5,27,30
"227",10643,13.2175,16,18,33,37,23.5,26.75
"228",10644,15.3077083333333,16.5,19.5,35,38.5,25.25,28.5
"229",10646,15.0211111111111,17,20,35,39,25.5,28.5
"230",10647,13.92869375,16.6,19.4,35,38.5,25,28
"231",10648,14.9817555555556,16.8,20,35.6,39.4,25.4,28.35
"232",10649,14.3825,16.5,19,34.5,38,24.5,27.75
"233",10651,15.2713194444444,17.5,20.5,36.5,40,26.5,29.5
"234",10653,14.8992013888889,18,21,36.5,40,26.75,29.75
"235",10654,15.6240277777778,17,20,35,39,25.5,28.5
"236",10655,15.42125,16.5,19,35,38.5,25,28
"237",10656,14.2222222222222,16,18.5,32,36.5,23.5,26.75
"238",10657,14.8415277777778,16.5,19.5,35,38.5,25,28.25
"239",10658,15.5208333333333,17,19.5,35,39,25.25,28.25
"240",10659,13.80625,16.5,19,34.5,38.5,24.75,27.75
"241",10660,14.8829166666667,17.5,20.5,36,40,26.25,29.5
"242",10661,14.255,16,18,33.5,37.5,24,27
"243",10662,15.5819791666667,17.5,20.5,36,39.5,26.25,29.25
"244",10664,15.7864583333333,17,19.5,35,38.5,25.25,28.25
"245",10665,15.109375,16.5,19.5,35,38.5,25.25,28.25
"246",10668,14.8409722222222,18,21,36.5,40,26.75,29.75
"247",10669,13.5791666666667,15.5,18,33,37,23.5,26.6000000000004
"248",10670,14.4618055555556,17.5,20.5,36.5,40,26.5,29.75
"249",10671,14.7194444444444,17,19.5,35,39,25.5,28.5
"250",10678,15.3161111111111,17.5,20.5,36,39.5,26.25,29.25
"251",10680,15.2677777777778,17.5,20.5,36,39.5,26.25,29.25
"252",10685,15.3663194444444,18,21,36.5,40,27,29.75
